file,fr_GHz,Q_i,Q_c,Q_total,kappa_i,kappa_c,redchi,success
Qi1500_Qc1500_phi+0.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1500,750,0.000666667,0.000666667,1.02147e-23,True
Qi1500_Qc1500_phi+0.10rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1500,750,0.000666667,0.000666667,1.14494e-23,True
Qi1500_Qc1500_phi+0.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1500,750,0.000666667,0.000666667,1.29309e-23,True
Qi1500_Qc1500_phi+1.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1500,750,0.000666667,0.000666667,1.53878e-23,True
Qi1500_Qc1500_phi+1.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1500,750,0.000666667,0.000666667,9.79588e-24,True
Qi1500_Qc1500_phi+2.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1500,750,0.000666667,0.000666667,1.92728e-23,True
Qi1500_Qc1500_phi+2.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1500,750,0.000666667,0.000666667,3.42831e-23,True
Qi1500_Qc1500_phi+3.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1500,750,0.000666667,0.000666667,3.06006e-23,True
Qi1500_Qc1501_phi+0.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1501,750.25,0.000666667,0.000666223,1.08883e-23,True
Qi1500_Qc1501_phi+0.10rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1501,750.25,0.000666667,0.000666223,1.12278e-23,True
Qi1500_Qc1501_phi+0.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1501,750.25,0.000666667,0.000666223,1.26172e-23,True
Qi1500_Qc1501_phi+1.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1501,750.25,0.000666667,0.000666223,1.62628e-23,True
Qi1500_Qc1501_phi+1.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1501,750.25,0.000666667,0.000666223,1.01704e-23,True
Qi1500_Qc1501_phi+2.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1501,750.25,0.000666667,0.000666223,2.01607e-23,True
Qi1500_Qc1501_phi+2.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1501,750.25,0.000666667,0.000666223,3.60919e-23,True
Qi1500_Qc1501_phi+3.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,1501,750.25,0.000666667,0.000666223,3.01684e-23,True
Qi1500_Qc2000_phi+0.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,2000,857.143,0.000666667,0.0005,1.14852e-23,True
Qi1500_Qc2000_phi+0.10rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,2000,857.143,0.000666667,0.0005,1.30092e-23,True
Qi1500_Qc2000_phi+0.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,2000,857.143,0.000666667,0.0005,1.64977e-23,True
Qi1500_Qc2000_phi+1.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,2000,857.143,0.000666667,0.0005,2.07776e-23,True
Qi1500_Qc2000_phi+1.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,2000,857.143,0.000666667,0.0005,1.52122e-23,True
Qi1500_Qc2000_phi+2.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,2000,857.143,0.000666667,0.0005,3.00877e-23,True
Qi1500_Qc2000_phi+2.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,2000,857.143,0.000666667,0.0005,4.58271e-23,True
Qi1500_Qc2000_phi+3.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,2000,857.143,0.000666667,0.0005,4.45435e-23,True
Qi1500_Qc700_phi+0.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,700,477.273,0.000666667,0.00142857,9.71164e-24,True
Qi1500_Qc700_phi+0.10rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,700,477.273,0.000666667,0.00142857,9.7668e-24,True
Qi1500_Qc700_phi+0.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,700,477.273,0.000666667,0.00142857,9.25184e-24,True
Qi1500_Qc700_phi+1.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,700,477.273,0.000666667,0.00142857,7.38727e-24,True
Qi1500_Qc700_phi+1.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,700,477.273,0.000666667,0.00142857,5.51114e-24,True
Qi1500_Qc700_phi+2.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,700,477.273,0.000666667,0.00142857,1.09749e-23,True
Qi1500_Qc700_phi+2.50rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,700,477.273,0.000666667,0.00142857,1.342e-24,True
Qi1500_Qc700_phi+3.00rad_delay0.0ns_a1.00_alpha0.00rad,10,1500,700,477.273,0.000666667,0.00142857,9.97288e-25,True
